,state,count_change_percent,sum_change_percent,median_change_percent,boa_count,citi_count,income,total_population,male,female,median_age,bachelor_or_higher,labor,no_insurance,poverty,label
16,Kentucky,0.0,0.08596328882855613,0.11006339241001087,0.0,0.0,0.561754086522681,0.09868704336060821,0.036328871892925406,0.057034220532319393,0.18140589569160998,0.05454545454545454,0.08677098150782353,0.27225130890052357,0.4604651162790699,-1.0
17,Louisiana,0.006535947712418301,0.037182901919969515,0.08062189453438051,0.0,0.0,0.5567649182695463,0.10477476966690291,0.02868068833652008,0.06463878326996195,0.126984126984127,0.06727272727272726,0.096728307254623,0.6020942408376962,0.49302325581395356,-1.0
18,Maine,0.0,0.0,0.0,0.020496224379719527,0.0,0.6789207641305062,0.019223915984794795,0.024856596558317484,0.06844106463878316,0.308390022675737,0.18545454545454546,0.14082503556187764,0.35602094240837695,0.22790697674418606,0.0
19,Maryland,0.0,0.0,0.0,0.17475728155339806,0.03412073490813648,1.0,0.13896666451903872,0.02103250478011475,0.0722433460076045,0.17687074829931965,0.3454545454545455,0.2119487908961592,0.24083769633507854,0.04186046511627908,0.0
20,Massachusetts,0.0,0.0,0.0,0.25782092772384035,0.05774278215223097,0.8291341167202784,0.15878500096643258,0.02103250478011475,0.0722433460076045,0.20181405895691606,0.4000000000000001,0.20341394025604548,0.0,0.1116279069767442,0.0
21,Michigan,-0.01694915254237288,0.15652020955532506,0.06758530183727034,0.16828478964401294,0.0,0.6827939342217554,0.2403382256297919,0.03250478011472281,0.0608365019011406,0.20634920634920637,0.14909090909090908,0.11095305832147934,0.27225130890052357,0.32558139534883723,-1.0
22,Minnesota,0.0,0.0,0.0,0.0010787486515641855,0.0,0.8828727105625944,0.1255852071387153,0.043977055449330865,0.049429657794676694,0.16553287981859405,0.2745454545454545,0.23470839260312945,0.13612565445026178,0.10697674418604654,0.0
23,Mississippi,0.0,0.0,0.0,0.0,0.0,0.4663690671568306,0.06210749307389988,0.024856596558317484,0.06844106463878316,0.1405895691609978,0.03454545454545459,0.06401137980085349,0.5863874345549738,0.572093023255814,0.0
24,Missouri,0.0,0.0,0.0,0.09169363538295577,0.0,0.7435173636184599,0.1412134785129824,0.030592734225621445,0.06273764258555127,0.18140589569160998,0.1509090909090909,0.13513513513513514,0.4397905759162303,0.2930232558139535,0.0
25,Montana,0.0,0.0,0.0,0.0,0.0,0.6709380949254907,0.011324682687971136,0.05353728489483756,0.039923954372623464,0.20634920634920637,0.18363636363636365,0.1479374110953058,0.5706806282722512,0.28837209302325584,0.0
26,Nebraska,0.0,0.0,0.0,0.0,0.0,0.7466684172520186,0.03343470137233426,0.045889101338432096,0.04752851711026616,0.12925170068027217,0.18727272727272729,0.24324324324324317,0.3350785340314136,0.14883720930232563,0.0
27,Nevada,-0.02,0.1797714068369734,0.06332073219259848,0.07551240560949299,0.04199475065616798,0.6548283332239218,0.0581134205270279,0.05544933078393879,0.03802281368821293,0.15646258503401356,0.07090909090909095,0.14935988620199148,0.6230366492146595,0.27906976744186046,-1.0
28,New Hampshire,0.0,0.0,0.0,0.02912621359223301,0.0,0.9636578480929561,0.019139488435023517,0.03824091778202677,0.05513307984790872,0.27210884353741494,0.2872727272727273,0.21052631578947364,0.30890052356020936,0.0,0.0
